,0
para10s34,"For who today would want philology, taken as litterature or as linguistics, and the studies that lead to humanity d."
para10s35,h.
para10s36,"to the higher education of pure humanity, to a few nations and to the insights drawn from their remaining stock of monuments?"
para10s37,"The worst service, however, is often done to a science by its own professors, who sometimes present its value and influence on other kinds of education too generally, and sometimes get embarrassed themselves when they have to explain themselves clearly about the concept of their efforts and their purposes."
para10s38,This encountered many and well-known philologists since then.
para10s39,"Some complained about the lack of respect for their studies, while they knew only a small part of them and worked on a much smaller one; others confessed that it seemed hardly possible to assign a separate field and secure boundaries to ancient philology, given the close connection between it and many of today's sciences."
para10s40," Thus Heeren, in the entrances of his useful book: Geschichte des Stadium der klassischen Litteratar , Göttingen, 1797."
para10s41,8.
para10s42," Indeed, a little honorable reward for knowledge, which awakened and nourished many a science, if finally nowhere a dwelling remained for them in their own country, precisely because they too often stayed in neighboring regions helping to promote foreign work."
para11s0,"These considerations lead to the desire for a concise overview of what the so-called philological studies can and should be according to their content and essence, or for an attempt how, for example, the main concept of the whole science can be specified and the objects of it can be enclosed in sharply drawn boundaries, along with an indication of the most general directions in which the treatment of the material, which is to be distributed in many ways, must strive."
para11s1,"We consider the clarification of this last point to be a highly necessary business, which had to be done a long time ago."
para11s2,"For as in the sciences which have for their object the nature that surrounds us, so in this, which deals chiefly with the moral side of mankind, all the true and profound sense of study rests upon the highest demands which must guide every single effort, from the boldest flight of scientific divination to the diligence of the laborious collector, and must at last lead the whole to its ultimate ends."
para11s3,"Here, as in the study of nature, no zeal flourishes for the one who works in any corner of the great field without knowing what his collaborators are striving for around him in other places."
para12s0,"In order to first determine the material which our science has to treat, we take a look backwards at the course of the preceding centuries from the great migrations of peoples, with which the transformation of the world nearer to us to the Middle Ages, as it were a gap between older and newer culture, takes its beginning."
para12s1,"There, in the most beautiful regions of the old world, we see a number of peoples acting one after the other and next to each other, who still today announce their former life and work in several or few remnants."
para12s2,"One would like to include all such peoples together to a single customer; but many causes make here a separation necessary, and do not allow us to put Egyptians, Hebrews, Persians and other nations of the Orient on one line with the Greeks and Romans."
para12s3,"One of the most important differences between those and these nations is that the former did not rise at all, or only a few steps, above the kind of education that should be called civic policy or civilization, in contrast to higher, actual spiritual culture."
para12s4,"This kind of culture (whose name, by the way, may be indifferent, if only the matter is distinguished more precisely than hitherto) is busy with the conditions of a life in need of security, order and comfort; it uses for this purpose even certain nobler inventions and knowledge, which, however, mostly found in unscientific ways, as several of the Egyptians and other ancient peoples, should never have aroused the reputation of sublime wisdom; on the other hand, it neither needs nor creates a literature, i. e., a literature of the world."
para12s5,i.
para12s6,"a stock of writings, in which not a single caste according to official purposes and needs, but everyone from the nation, who trusts in better insights, presents contributions to the enlightenment of the contemporaries."
para12s7,"The latter, which in a happily organized people can begin earlier than the order and austerity of the outer life, This was really the case with the Greeks, and remained so until far into the times of their beautiful literature."
para12s8,One would get too good a idea of the civil policy of this period if one wanted to take its intellectual purposes and monuments of art as a yardstick for that.
para12s9,"It was the Romans who brought more order and convention into the lives and intercourse of the people than the unpropertied inhabitants of Greece, who were only wealthy and more faithful to nature, were able to do."
para12s10,"Mores et instituta vitae, sagt Cicero, resque domesticas ac familiaris nos profecto et melius tuemur et lautius."
para12s11,"But there were several peoples who not only began with this, but also remained with it forever, as the farthest east of Asia has done, similar to such individuals, who do not lack cleanliness, decency and comfort of dwellings, clothes and all surroundings, but never feel the need of higher enlightenment."
para12s12,"With the Greeks, even the most educated Attics, the opposite often occurred to the point of astonishment, and one neglected as insignificant what we, by virtue of our love of order, are generally accustomed to regard as the basis of spiritual ennoblement itself."
para12s13,"   has never been done by any people before the Greeks, and none of them gained that higher culture, the spiritual or literary one, before them."
para12s14,One does not fear to see the peoples of the Orient here estimated under their merit: a closer execution of the above remark would easily avert such suspicion.
para12s15,"But the merely natural beginnings of spiritual education, which have hardly advanced to the real art of prosaic recitation, and which we have received especially from the Hebrews through their sacred books, bear in all Orientals a character so strikingly different from that of the Greeks; and likewise the best works of art of those regions had, before they were Hellenized, a manner so different from all European taste that they would unite with what Greece and Rome left us only to a very heterogeneous whole."
para12s16,"Thirdly, in all such peoples we are still deterred by the extremely small number of remaining works, which allow at most a rudimentary understanding of their languages, but not a more intimate comprehension of their spiritual organization and entire idiosyncrasy."
para12s17,"So we are left with only two nations of antiquity whose knowledge can form a similar science, the Greeks and the Romans."
para12s18,"Asians and Africans are excluded from our borders as litterarily not cultivated, only civilized peoples; so also the later important Arabs, although they reached a certain degree of learned education with the help of the Greeks, like the Romans before."
para12s19,"Accordingly, such literature, either fragmentary or still hidden in book dungeons, and far more those of the most distant peoples of Asia, will be left entirely to the Orientalists, who themselves divide into several classes; indeed, it will be permissible, in the spirit of the ancients, who looked down with pride on the barbarians as on ignoble human species, at least the Greeks, to whom, as appears from Aristotle's politics, slavery seemed a natural condition."
para12s20,"They divided people into three classes: free Greeks, despotic barbarians and serfs."
para12s21,Their historians and speakers sometimes even set up a kind of legal grounds by virtue of which the non-Hellenes would have to be considered as inferior human species.
para12s22," The name ""antiquity"" can even be restricted in an exceptional sense to the two peoples refined by intellectual culture, erudition and art."
para13s0,"The former of these peoples was, as has already been remarked, also the first on earth, in which the impulse to educate oneself in manifold ways arose from the innermost needs of the spirit and mind, and from a passionate tendency to pursue from one object to another a beautifully ordered circle of arts and knowledge arose, which elevated the life of man to the self-interested occupation of his higher powers."
para13s1,"With a few main strokes, the playful progression is drawn by Horace, Epist."
para13s2,"H, 1, 93."
para13s3,"Ut primum positis nugari Graecia bellis Coepit , et in Vitium fortuna labier aequa, Nunc athletarum studiis , nunc arsit equorum ; Marmoris aut eboris fabros aut aeris amavit; Suspendit picta vultumque animumque tabella; Nunc tibicinibus , nunc est gavisa tragoedis ; Sub nutrice puella velut si luderet infans, Quod cupide petiit , mature plena reliquit."
para13s4,   This is a principle that endures the strictest scrutiny of the historian; and with the priority is expressed at the same time the originality of the Greek culture.
para13s5,"It is possible, it becomes probable even by historical data, that the Greeks at the beginning gained some elementary concepts of their sciences, some technical rules of the arts from the earlier civilized Orient; nevertheless, they appear immediately in their first state associations and constitutions, in customs, in language, in everything that characteristically distinguishes a people, from ancestral nature as original as ever was one; They also knew how to put such a stamp of their genius on what they had borrowed from abroad, and to enrich and fertilize it in such a way that everything soon became their own; and thus, in the whole course of their education, they passed through a ladder by which one can perceive, as on a cultural gauge, the course of purely human development in general."
para13s6,"One is entitled to say even more, although not to the credit of the modern world."
para13s7,"To the Greeks, whom already Horace, with a side glance at his Romans, called merely stingy for glory, Graiis - praeter laudem nullius avaris."
para13s8," Und nach der vorhin angeführten Stelle, als Gegenbild: Romae dulce diu fuit et solemne , reclusa Mane domo vigilare , clienti promere iura; Cautos nominibus certis expendere nummos ; Maiores audire , minori dicere, per quae Crescere res passet, minui damnosa libido."
para13s9, Romani pueri longis rationibus assem Discunt in partis centum diducere etc.
para13s10,"    The moderns owe it above all to the fact that with them, who always sought the beautiful after the useful, not all knowledge was again caste-like, that the better culture was not completely rejected in the service of civilization, that even various studies, which must remain unrewarded as a kind of luxury, are at least not forbidden to anyone who renounces the help of the state."
para13s11,"Thriving as well as they can in this limitation, such studies then expect their reward from themselves alone, and, if they need it, find comfort enough in the reputation in which they once stood with the noblest men, to whom the deliberate exercise of their powers and the pure satisfaction of their curiosity were everything."
para13s12,"How else could the love of deeper research have arisen, even in the more rigorous sciences, if the Greeks had worked only for what was immediately useful?"
para13s13,"The Romans were not a people of original talents, except in the art of conquering and ruling; they proceeded immediately in their earliest policy, later in the most varied arts, from the patterns of their neighbors, mostly Greek tribes; they imitated later, when they took a literature like a foreign commodity, the Greeks with zeal: but they did this in some ages with much luck and with such a peculiarly great sense that they became, contrary to the opinion of the latest Hellenic friends, something more than traditors of Greek literature; they also enriched the received parts of the learned knowledge with many things that have a closer relationship to practical life: as they then, for example, have to do with the Greek culture."
para13s14,B.
para13s15,"In the field of scientific theory of law, the Greeks achieved almost the same as the Greeks in philosophy."
para13s16," A comparison could be made between the two peoples, which could put the merit of the Roman in a very favorable light."
para13s17,"In particular, the character and influence of the sects introduced into jurisprudence from August's reign by Labeo and Capito and their students, the only science where one hears the Romans speak of their own sects or families, should be drawn more precisely than has been done so far."
para13s18,"The matter would be for men like Hugo and Savigny , or if anyone else visits the learned sources of law."
para13s19,"Meanwhile, compare the writings cited by Bach in Hist."
para13s20,Iurisprud.
para13s21,Rome.
para13s22,ed.
para13s23,5.
para13s24,"p, 383."
para14s0,"Let us now assume a case which, had it occurred, would certainly have opened a different road for modern scholarship, given it a different color."
para14s1,"If from both mentioned peoples very little would have been preserved, for example some Homeric songs, some funeral plays of Aeschylus and Sophocles , a few writings of Plato or Aristotle, a few fragments of Horatius, Cicero, Tacitus, together with some larger and smaller works of the drawing arts or significant ruins of beautiful architecture ; If the remains of writing in their extinct languages were only as comprehensible as the art monuments would be, there would, we think, inevitably arise in everyone who is driven by the desire to explore beyond the needs of the present, a lot of questions about everything that might be discovered somewhere from peoples of such excellence and excellence."
para14s2,"Without the slightest connection of our litterature and knowledge (if we acquired them without the process of the ancients) with the litterature of those peoples, we would certainly not have to consider them worth less attention than any other people completely foreign to us, of whose conditions discovering travelers report."
para14s3,"Especially, one should think, we should be attracted by everything that could be assumed or known about the national culture, the political arrangements, the inventions and customs of those ancients."
para14s4,Something similar was done by the moderns for a long time in regard to Egypt and several countries of the Orient.
para14s5,What would be more unworthy than to find foreign countries and people interesting only to the extent that an actual interest of political or commercial traffic prevails?
para14s6,"Man seeks man first; he strives to recognize him , without all secondary intentions in his own nature , in all his surroundings."
para14s7,"He wishes to explore even the most remote regions and to study the abilities, the character, the way of thinking and living of their inhabitants."
para14s8,"Such demands on our attention are not made by the cultivated peoples alone, even the crudest ones, which for the most part are all included in one description."
para14s9,"But whether this is applicable only to the nations living at the same time as us, or also to those that have long since expired; whether distance of time excuses a smaller share of participation than distance of place, this might be a question that can at most confuse the prejudice for a moment, but is easy to decide for the insight that is urgent in the matter."
para15s0,"But, fortunately, it does not require hypothetical consideration."
para15s1,"Of those two most famous nations of the ancient world, such a considerable stock of works has been preserved until our days, that for more than two thousand years, almost no era is without significant traces of their existence, a stock which, complete and fragmentary writings together, may be estimated at one thousand six hundred, in larger and smaller works of drawing and fine arts much more numerous, rather countless in the true sense of the word."
para15s2, This sum may seem exaggerated to those who value antiquity according to the number of writings they got to know in their first lessons.
para15s3,"It is based on a fairly accurate count, in which, however, all ecclesiastical writers were excluded; although a Clement of Alex, a Jerome, Arnobius and the like, provide great services to ancient studies and do not deserve neglect; what also scholars, such as Valckenaer and others, have to say."
para15s4,a.
para15s5,before him.
para15s6,"Incidentally, the numerous works of polygraphs, such as Aristotle, Lucianas, Galenus, have been counted individually, as well as the speeches of Lysias, Demosthenes, Cicero and others."
para15s7,s.
para15s8,"w.; but it is different with letters and the many small prose and poetic works, where a whole collection counts as one number."
para15s9,It should be remembered that our stock of Latin writings amounts to little more than a quarter of the total number.
para15s10,"On the other hand, we have from Greeks, alone up to the first actual writer of Rome, Livius Andronikus, about four hundred and fifty writings and smaller or larger fragmentists."
para16s0,"Among these remnants, although they appear everywhere only like debris of an immense shipwreck, which sometimes complicates the idea of the once united whole, there are nevertheless so many main writings and masterpieces left, which have given the ancient culture and later ours the most definite directions."
para16s1,"Especially fortunate coincidences in the literary subjects favored us; although not so much by chance as by intentional event in antiquity itself such writings were preserved most faithfully, which most approached the ideal of perfection, and such, unlike happens with us, where always the latest displaces the new, were handed over as models of emulation to the following ages, and by repeated copies were always kept fresh."
para16s2," What is said here of a proper event refers to the censures, registers, plates (πίνακες) of the grammarians at Alexandria and Pergamum, especially to that selection of the best writers which Aristophanes of Byzantium and Aristarchus made to pick out from the excessive number of books the most worth reading and the most classical in matter and form."
para16s3,"From the judgments of these art judges depended later on the whole learned and unlearned antiquity; the writers chosen by them were read most eagerly, thus also copied most diligently, since the others gradually fell out of hands, or were sought only by a few lovers of the rare and the heluones librorum."
para16s4,"For general education, however, they read and copied about sixty selected authors, Homerus, Hesiodus, Pindarus, Sophocles, Euripides, Aristophanes, Herodotus, Thucydides, Plato, Xenophon, Lysias, Demosthenes and others."
para16s5,s.
para16s6,w.
para16s7,"Would that so many others of these classes were not lost in the Middle Ages, such as Archilochus, Mimnermus, Alcaeus, Sappho, Stesichorus, Anacreon, Epicharmus, Menander, Philemon, Theopompus, Ephorus and others."
para16s8,s.
para16s9,w.
para16s10,The fact that most of them remained intact until the fall of the Western Roman Empire is attested by many citations from their works; some of their writings seem to date back to the twelfth century.
para16s11,to have received
para16s12,"For information on the censorships themselves, see."
para16s13,m.
para16s14,Ruhnken.
para16s15,hist.
para16s16,crit.
para16s17,oratt.
para16s18,Graec.
para16s19,in front of whose Rutilius Lupus p.
para16s20,XCIV.
para16s21,seqq.
para16s22,Wyttenbachii Vit.
para16s23,Ruhnk.
para16s24,p.
para16s25,"144, the annot."
para16s26,to this p.
para16s27,"286, meine Prolegg."
para16s28,ad Hom.
para16s29,p.
para16s30,CXC.
para16s31,"Incidentally, I do not agree with Heeren's opinion (in the above cited history p."
para16s32,32) that those selections of writers would have been to the detriment of literature.
para16s33,"If one has nothing to criticize about the judgments themselves, one would be justified in asking about the reason for the opinion."
para16s34,"In the case of equally great diligence in copying, it could hardly be otherwise than that one would have copied and brought to posterity works that were more according to the corrupted taste of later ages, not exactly an Aeschylus, Sophocles, Euripides, Herodotus, Thucydides, Plato, Aristotle, Theophrastus, etc., but the works that were most frequently copied and brought to posterity."
para16s35,w.
para16s36,"We even think that someone might want something similar for the literature of the moderns, in order not to leave the distribution of the wreaths to chance, to the self-will of reviewers, to the mixed reading circles."
para16s37," It is true that we have suffered immeasurable losses in scientific explanations, in various remarks, in historical data, which the ancients laid down in so many books; in that it can be shown what strange peoples' stories have disappeared with the demise of twenty and more writings, indeed even the consideration of how many observations and ideas from a single one of the preserved books, e.g., the ""The Book of the Ancients"", has been lost."
para16s38,B.
para16s39,"The importance of the many losses of similar books, several thousand of which were written in the period between Pericles and Jul."
para16s40,"Caesar on philosophy , history of nations and knowledge of nature filled the libraries of the ancients."
para16s41,"In spite of all this, however, much that is exemplary from an artistic point of view and important from a scientific one has been preserved up to our time; and in several classical works the foreboding of their authors, who prophesied them an everlasting duration against the storms of the future, has proved itself so much that here the hand of the ruling fate often reveals itself."
para16s42,"Through such remnants of number and content, we latecomers are put in the position, with, if not complete, yet satisfactory insight, in some respects even deeper than the ancients themselves, to enter into everything that so memorably distinguished them, without conspicuous interruptions, and to follow their doings and sufferings in the most important relations."
para16s43,"And herewith we pronounced the highest tendency of science, which will most appropriately bear the name of the science of antiquity."
para16s44,"Every other name , common as it is among the other peoples of Europe, has less reason; one is too broad, another too limited; none exhaustive of the whole."
para17s0,"If thereafter a more detailed description of the whole of our science is required, it will go to the epitome of the knowledge and information that acquaint us with the actions and destinies, with the political, learned and domestic state of the Greeks and Romans, with their culture, their languages, arts and sciences, The aim is to make us acquainted with the actions, political, learned and domestic state of the Greeks and Romans, with their culture, languages, arts and sciences, customs, religions, national characters and ways of thinking, in such a way that we will be able to thoroughly understand the works that came down to us from them and to measure them with insight into their content and spirit, with visualization of ancient life and comparison of the later and the present."
para17s1, 
para18s0," The sources from which the researcher of antiquity takes his material, at the same time the objects in whose contemplation and enjoyment he practices his study, are remains of ancient times, ancient works, ancient monuments."
para18s1,"They came to us from all the centuries that contain the emergence, blossoming, growth and fading of both nations, so first from over 1000 years."
para18s2,B.C.
para18s3,G.
para18s4,"until the beginning of the historical Olympiads (776) and Rome's founding, around the middle of the eighth century b.c."
para18s5,Chr.
para18s6,G.
para18s7,(754); then from that time until towards the end of the fifth sec.
para18s8,after Chr.
para18s9,G.
para18s10,"(476), finally until the capture of Constantinople by the Turks (1453), in order not to exclude the Greeks of the Byzantine Empire, who were ailing to a slow death in the Middle Ages and yet still associated with Homer's and Plato's Muses, and to observe, as it were, the final drying up of both flows of people that had been brought together."
para18s11,"These three great periods together amount to a space of about three and a half millennia; nevertheless, there is not easily a human age in them that would be empty of remnants for us in the various or at least in certain important classes."
para18s12,"For example, we have"
para18s13,B.
para18s14,"coins through almost two millennia, from some countries quite continuously; and some centuries and individual shorter periods of time are so full of witnesses to the then state of things in the moral and political world that here and there a period stands clearer before our eyes than some of the latest confused moments of history."
para18s15," Compare the period of Caesar's deeds and his dictatorship with the history of the French Revolution, or the history of the Peloponnesian War with that of this and that new war."
para18s16,"Especially in the times, when great virtues and great crimes were shown to the people in public, it was much easier to find out something for sure about the course and the driving forces of the events."
para18s17,In all ways it is a prejudice to think that the history of world affairs becomes more credible as it gets closer to our days.
para18s18," The collected remains are of three kinds: partly written works, which also include the bard songs that were only sung before the spread of the art of writing and were only recorded later; partly artistic, i.e., bard songs."
para18s19,h.
para18s20,"Works of drawing and sculpture, both of the art associated with poetry and of common technique; partly remnants of a mixed kind, in which literature and common technique have approximately equal shares."
para18s21,"Here belong most of the inscribed stones, which are much closer to writings than to art products."
para19s0,"Again, these three classes of works demand and suffer a dual view and treatment."
para19s1,"From one side they are to be regarded as monuments and testimonies of past conditions; in which respect they have, down to a fragment of a mediocre writer, down to the most artless anticaglia, a historical value, since even the most insignificant pieces of the kind captivate our attention more instructive and more leisurely than more recent works of equal merit."
para19s2,"On the other hand, the works of antiquity are to be considered aesthetically beautiful, of which there is admittedly a smaller number, mainly from the most flourishing ages of both peoples; even though the mediocrity of those remnants, because of the great patterns after which they worked, always had a nobler stamp than modern mediocrity achieves."
para19s3,"It goes without saying that the second genre of ancient works, the beautiful or classical ones, are at the same time to be regarded as monuments, even if often only of attitudes, of moods, sometimes of quite momentary states; in that many of the monuments that are actually to be called so, as a carelessly made compilation of stories, a common piece of equipment of old cellars and kitchens, a shapeless coin, a written brick mark, almost do not fall under aesthetic consideration at all."
para19s4,"However, it would be detrimental to narrow the scope of study if, as is now done by most people when noting ancient works of art, one were to highlight with false disgust only the classical and beautiful, leaving everything else to so-called antiquity buffs."
para19s5,Such thinking is selfish and noble rather than true and liberal.
para19s6,"Often an inconspicuous fragment of bad technique, an insipid passage of a versifier, has long since shed desired light on a better work; so that only he deserves blame who elevates the individual above its value, with regard to literature or art or history."
para20s0,"So much about the idea and the general of the science, about the ages and the types of the remains, as the matter in which it works."
para20s1,"It lacks, above all, a justification, which must be given partly by historical data, partly by developments of philosophical principles, the results of which either turn into skills or proceed from them."
para20s2,"Of course, the works written in writing have the first rank among all: they provide the main means to understand and judge the others correctly; they create for us, by means of languages, a familiarity with the ideas and expressions of antiquity; therefore, a most perfect understanding of the writers, together with the examination of the original or after-falsified, the genuine or inauthentic, the ancient or the late, all of which is mixed in the written works, belongs to the most necessary requirements."
para20s3,How the practical occupation with this affects our education is not to be discussed here; only this much is to be noted that a deeper study of languages does not recognize the distinction between language and subject knowledge that is usually made.
para20s4,"Here alone, however, we do not speak of the ancient languages both as one of the objects of science, but rather in so far as their knowledge is instrumental."
para20s5,"In this way we obtain an organon for the entire science, in which first, after a philosophical explanation of the general principles of language from the laws of thought, the theory of the Greek and Latin language is treated according to the usage of the language, which changes from time to time."
para20s6,"I say, according to the usage that changes from time to time."
para20s7,"For by grammar is not understood here the limited system of rules of a language from a single period of its flowering; which may suffice with newer languages, where we mostly look only at their present usability, not at their earlier litterature: the name rather encompasses all periods of the life of a language, i.e., all the periods of its life."
para20s8,h.
para20s9,"the studies of their origin , their construction , their progressive formation, i.e. orthography and orthoepy, prosody, etymology, analogy and theory of forms, syntax and idioms."
para20s10,"These investigations are on the one hand historical, on the other philosophical: the former, inasmuch as every rule of language proceeds from a fact, a usage of language critically demonstrable from uncorrupted passages of the ancients; the latter, because no rule in languages is fixed without being justified by the nature of the use of speech."
para20s11,"Thus, grammar becomes, to a certain extent, the history of a language which, in the case of Greek, passes through a period of three and a half thousand years; a phenomenon which has never occurred in any other, and perhaps will never occur again."
para20s12,"The grammar of the two languages, moreover, only becomes a secure basis for the art of interpretation and criticism through such a far-reaching treatment, since the use of language, which changes many times in the course of national culture, must be known and determined in order to decide on the true meaning of a writer and on what is to be considered genuine and inauthentic in him, according to secure reasons."
para21s0,"The next hermeneutics, based on the grammar of the Greek and Latin languages, has been very perfect under the hands of several good interpreters, but it is by no means perfect as a theory."
